Ladino             Turkish
abudaho             balık yumurtası
alburniya           domatesli patlıcan kızartma
alkide              akide şekeri
anchusa             kaygana
arroz               pirinç
biftek              biftek
bilibiz             leblebi
boyo de rayo        peynirli hamur işi
dondurma            dordurma
dondurmas           dordurma
estragalakya        beyaz leblebi
hamburger           hamburger
kacharola           sahan, tencere
kezo                peynir
kezos               peynir
kofte               köfte
komposto            komposto
kompostos           komposto
koyadura            tuzlanmış hamsi
krem karamel        krem karamel
marunchinos         bademli beze
masa                hamur
masas               hamur
maydanoz            maydanoz
miel                bal
mina                börek
minas               börek
mogados             badem ezmesi
pan espondjado      pandispanya
pandispanya         pandispanya
pasa                kuru üzüm
pasta               pasta
pastas              pastas
pastel              pasta
pasteles            pastas
pasteles            etli börek
pershil             maydanoz
pimienta            kara biber
pitagra             kayısı pestili
prasifuchi          pırasa kayganası
prasifuchis         pırasa kayganası
sal                 tuz
salata              salata
salatas             salata
sesamo              susam
supa                çorba
supas               çorba
tomat reynado       etli domates dolması
travados            cevizli börek
yelada              dondurma
