Ladino             Turkish
dondurma            dordurma
dondurmas           dordurma
hamburger           hamburger
marunchinos         bademli beze
miel                bal
mina                börek
minas               börek
mogados             badem ezmesi
pan espondjado      pandispanya
pandispanya         pandispanya
pasa                kuru üzüm
pasta               pasta
pastas              pastas
pastel              pasta
pasteles            pastas
pasteles            etli börek
pershil             maydanoz
pimienta            kara biber
pitagra             kayısı pestili
prasifuchi          pırasa kayganası
prasifuchis         pırasa kayganası
sal                 tuz
salata              salata
salatas             salata
sesamo              susam
supa                çorba
supas               çorba
tomat reynado       etli domates dolması
travados            cevizli börek
yelada              dondurma
