Ladino             English
abistru             ostrich
alicha              fish, very small
azno                donkey
aznos               donkeys
elefante            elephant
gamba               prawn
gato                cat
gatos               cats
gatiko              small cat
gaya                forkbeard fish
gayina              hen
gayinas             hen
gayna               chicken, chick
gaynas              chickens, chicks
gayo                cock
gayos               cocks
indiana             turkey
indianas            turkeys
indiano             turkey
kodrero             lamb
kodreros            lambs
kukuvaya            owl
kulevra             snake
kulevras            snakes
lonso               bear
lonsos              beers
lovo                wolf
lovos               wolfs
oveja               sheep
ovejas              sheep
palaza              duck
palazas             ducks
pasharo             bird
pasharos            birds
pato                goose
patos               goose
perro               dog
perros              dogs
peshkado            fish
peshkados           fish
poyo                chicken, chick
poyos               chickens, chicks
renar               fox
sigonya             stork
toro                bull
toros               bulls
