Ladino             Turkish
boka                ağız
bokas               ağız
braso               kol
brasos              kol
dedo                parmak
dedos               parmak
diente              diş
dientes             diş
diz                 diz
dizes               diz
espalda             sırt
espaldas            sırt
estomago            mide
frente              alın
garganta            boyun
gargantas           boyun
garon               boğaz
kara                yanak, surat, yüz
kavesa              baş
kavesas             
korason             kalp
korasones           kalp
kovdo               dirsek
kovdos              dirsek
kulo                kıç
ligado              ciğer, karaciğer
ligados             ciğer, karaciğer
luenga              dil
luengas             dil
mano                el
manos               el
meoyo               beyin
mustacho            bıyık
mustachos           bıyık
nariz               burun
ojo                 göz
ojos                göz
ombro               omuz
oreja               kulak
orejas              kulak
oyido               kulak
oyidos              kulak
parparo             göz kapağı
pecho               göğüs
pechos              göğüs
pelo                kıl
pestanya            kirpik
pestanyas           kirpik
pie                 ayak
pies                ayak
pierna              baldır
piernas             baldır
pulmon              akciğerler
pulmones            akciğerler
punyo               yumruk
punyos              yumruk
segundo dedo        işaret parmağı
seja                kaş
sejas               kaş
tripa               karın
tripas              karın
