Ladino             English
dondurma            ice cream
dondurmas           ice creams
hamburger           hamburger
pan espondjado      sponge cake
pandispanya         sponge cake
pasa                raisin
pasta               cake
pastas              cakes
pastel              cake
pasteles            cakes
pershil             parsley
pimienta            black pepper
pitagra             dried apricot paste sheet
prasifuchi          leek pastry
prasifuchis         leek pastries
sal                 salt
salata              salad
salatas             salads
sesamo              sesame
supa                soup
supas               soups
tomat reynado       meat-filled tomatoes
travados            nut-filled pastry
yelada              ice-cream
